Gene	Gene description	Concentration	Unit
H4C15	H4 clustered histone 15	120	ug/L
H4C14	H4 clustered histone 14	120	ug/L
H4C12	H4 clustered histone 12	120	ug/L
H4C6	H4 clustered histone 6	120	ug/L
H4C13	H4 clustered histone 13	120	ug/L
H4C9	H4 clustered histone 9	120	ug/L
H4C5	H4 clustered histone 5	120	ug/L
H4C4	H4 clustered histone 4	120	ug/L
H4C1	H4 clustered histone 1	120	ug/L
H4C2	H4 clustered histone 2	120	ug/L
DSP	Desmoplakin	110	ug/L
TUBB4A	Tubulin beta 4A class IVa	110	ug/L
CKM	"Creatine kinase, M-type"	110	ug/L
PTPRS	Protein tyrosine phosphatase receptor type S	110	ug/L
ALDOC	"Aldolase, fructose-bisphosphate C"	110	ug/L
PRDX1	Peroxiredoxin 1	110	ug/L
KRT36	Keratin 36	110	ug/L
CHI3L1	Chitinase 3 like 1	110	ug/L
PEBP4	Phosphatidylethanolamine binding protein 4	110	ug/L
IL6ST	Interleukin 6 cytokine family signal transducer	110	ug/L
CNPY3	Canopy FGF signaling regulator 3	110	ug/L
CNTN4	Contactin 4	110	ug/L
HYOU1	Hypoxia up-regulated 1	110	ug/L
IGFBP7	Insulin like growth factor binding protein 7	110	ug/L
CAVIN2	Caveolae associated protein 2	110	ug/L
FTL	Ferritin light chain	100	ug/L
YWHAE	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	100	ug/L
DSG1	Desmoglein 1	100	ug/L
KRT86	Keratin 86	100	ug/L
KRT38	Keratin 38	100	ug/L
CYCS	"Cytochrome c, somatic"	100	ug/L
TUBA8	Tubulin alpha 8	100	ug/L
KRT18	Keratin 18	99	ug/L
CDHR5	Cadherin related family member 5	98	ug/L
MAN2A1	Mannosidase alpha class 2A member 1	98	ug/L
KRT71	Keratin 71	98	ug/L
P4HB	Prolyl 4-hydroxylase subunit beta	98	ug/L
OGN	Osteoglycin	96	ug/L
APP	Amyloid beta precursor protein	96	ug/L
EEF1A1	Eukaryotic translation elongation factor 1 alpha 1	96	ug/L
NOTCH2	Notch receptor 2	95	ug/L
KRT33A	Keratin 33A	93	ug/L
PLS3	Plastin 3	93	ug/L
PIP	Prolactin induced protein	93	ug/L
CPA1	Carboxypeptidase A1	92	ug/L
NECTIN1	Nectin cell adhesion molecule 1	92	ug/L
PRDX6	Peroxiredoxin 6	91	ug/L
TUBB3	Tubulin beta 3 class III	91	ug/L
TUBB1	Tubulin beta 1 class VI	90	ug/L
KRT83	Keratin 83	90	ug/L
COL1A1	Collagen type I alpha 1 chain	89	ug/L
TMEM132C	Transmembrane protein 132C	89	ug/L
HSPA2	Heat shock protein family A (Hsp70) member 2	88	ug/L
ANGPTL3	Angiopoietin like 3	88	ug/L
SSC5D	Scavenger receptor cysteine rich family member with 5 domains	88	ug/L
H2AX	H2A.X variant histone	88	ug/L
MB	Myoglobin	87	ug/L
KRT81	Keratin 81	87	ug/L
FUCA2	Alpha-L-fucosidase 2	86	ug/L
NRCAM	Neuronal cell adhesion molecule	86	ug/L
APMAP	Adipocyte plasma membrane associated protein	86	ug/L
L1CAM	L1 cell adhesion molecule	86	ug/L
HSP90AA1	Heat shock protein 90 alpha family class A member 1	85	ug/L
LAMC1	Laminin subunit gamma 1	85	ug/L
LILRA2	Leukocyte immunoglobulin like receptor A2	85	ug/L
MPO	Myeloperoxidase	84	ug/L
ENO3	Enolase 3	84	ug/L
ACTN4	Actinin alpha 4	84	ug/L
LSAMP	Limbic system associated membrane protein	84	ug/L
AKR1B10	Aldo-keto reductase family 1 member B10	84	ug/L
PDLIM1	PDZ and LIM domain 1	83	ug/L
HSPD1	Heat shock protein family D (Hsp60) member 1	83	ug/L
TIMP2	TIMP metallopeptidase inhibitor 2	82	ug/L
VCP	Valosin containing protein	82	ug/L
DMBT1	Deleted in malignant brain tumors 1	82	ug/L
FGL1	Fibrinogen like 1	81	ug/L
NCAM2	Neural cell adhesion molecule 2	81	ug/L
YWHAG	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	81	ug/L
UMOD	Uromodulin	80	ug/L
THBS2	Thrombospondin 2	80	ug/L
TPR	"Translocated promoter region, nuclear basket protein"	79	ug/L
PTN	Pleiotrophin	79	ug/L
ICOSLG	Inducible T cell costimulator ligand	79	ug/L
AEBP1	AE binding protein 1	78	ug/L
LTA4H	Leukotriene A4 hydrolase	78	ug/L
YWHAQ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	78	ug/L
GSTO1	Glutathione S-transferase omega 1	78	ug/L
CPB1	Carboxypeptidase B1	78	ug/L
PGAM1	Phosphoglycerate mutase 1	78	ug/L
OAF	Out at first homolog	78	ug/L
PLXND1	Plexin D1	77	ug/L
CAP1	Cyclase associated actin cytoskeleton regulatory protein 1	77	ug/L
KRT85	Keratin 85	77	ug/L
CTSB	Cathepsin B	77	ug/L
PTPRM	Protein tyrosine phosphatase receptor type M	77	ug/L
GOT1	Glutamic-oxaloacetic transaminase 1	76	ug/L
RPL8	Ribosomal protein L8	76	ug/L
WDR1	WD repeat domain 1	75	ug/L
MDK	Midkine	75	ug/L
CNTN3	Contactin 3	75	ug/L
CHGA	Chromogranin A	74	ug/L
ISLR	Immunoglobulin superfamily containing leucine rich repeat	74	ug/L
PRG2	"Proteoglycan 2, pro eosinophil major basic protein"	74	ug/L
TFRC	Transferrin receptor	73	ug/L
MYL6	Myosin light chain 6	73	ug/L
KRT78	Keratin 78	73	ug/L
KRT12	Keratin 12	73	ug/L
SPON1	Spondin 1	73	ug/L
MET	"MET proto-oncogene, receptor tyrosine kinase"	72	ug/L
GOLM1	Golgi membrane protein 1	72	ug/L
LMAN2	"Lectin, mannose binding 2"	72	ug/L
HSPA1L	Heat shock protein family A (Hsp70) member 1 like	71	ug/L
FAP	Fibroblast activation protein alpha	70	ug/L
HSP90AB1	Heat shock protein 90 alpha family class B member 1	70	ug/L
OIT3	Oncoprotein induced transcript 3	70	ug/L
ADAMTSL4	ADAMTS like 4	70	ug/L
AMY1B	Amylase alpha 1B	70	ug/L
SIRPA	Signal regulatory protein alpha	70	ug/L
CR1	Complement C3b/C4b receptor 1 (Knops blood group)	69	ug/L
AFP	Alpha fetoprotein	68	ug/L
MFAP4	Microfibril associated protein 4	68	ug/L
HSPA1A	Heat shock protein family A (Hsp70) member 1A	68	ug/L
HLA-E	"Major histocompatibility complex, class I, E"	68	ug/L
GPI	Glucose-6-phosphate isomerase	67	ug/L
ACAN	Aggrecan	67	ug/L
GRN	Granulin precursor	66	ug/L
CLSTN1	Calsyntenin 1	66	ug/L
COLEC10	Collectin subfamily member 10	66	ug/L
PECAM1	Platelet and endothelial cell adhesion molecule 1	66	ug/L
CALM1	Calmodulin 1	65	ug/L
CD99	CD99 molecule (Xg blood group)	64	ug/L
GSR	Glutathione-disulfide reductase	64	ug/L
AHNAK	AHNAK nucleoprotein	64	ug/L
YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	64	ug/L
PRKCSH	Protein kinase C substrate 80K-H	64	ug/L
TLN2	Talin 2	64	ug/L
BPGM	Bisphosphoglycerate mutase	64	ug/L
THUMPD1	THUMP domain containing 1	63	ug/L
B3GNT2	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2"	63	ug/L
DAG1	Dystroglycan 1	63	ug/L
SFRP1	Secreted frizzled related protein 1	62	ug/L
MYH10	Myosin heavy chain 10	62	ug/L
PAM	Peptidylglycine alpha-amidating monooxygenase	62	ug/L
PLXNB1	Plexin B1	62	ug/L
PSAP	Prosaposin	62	ug/L
CEACAM1	CEA cell adhesion molecule 1	61	ug/L
MMP9	Matrix metallopeptidase 9	61	ug/L
ENO2	Enolase 2	61	ug/L
ARHGDIB	Rho GDP dissociation inhibitor beta	60	ug/L
ADGRG6	Adhesion G protein-coupled receptor G6	60	ug/L
SPP1	Secreted phosphoprotein 1	60	ug/L
H3-3B	H3.3 histone B	60	ug/L
EGFR	Epidermal growth factor receptor	60	ug/L
H3-3A	H3.3 histone A	60	ug/L
TIE1	Tyrosine kinase with immunoglobulin like and EGF like domains 1	59	ug/L
FCRL5	Fc receptor like 5	59	ug/L
SELENBP1	Selenium binding protein 1	59	ug/L
JUP	Junction plakoglobin	59	ug/L
TUBB6	Tubulin beta 6 class V	59	ug/L
RNASE4	Ribonuclease A family member 4	59	ug/L
CTSZ	Cathepsin Z	58	ug/L
ALDH1A1	Aldehyde dehydrogenase 1 family member A1	58	ug/L
GSTP1	Glutathione S-transferase pi 1	57	ug/L
EEF1A2	Eukaryotic translation elongation factor 1 alpha 2	57	ug/L
PLBD1	Phospholipase B domain containing 1	57	ug/L
PNP	Purine nucleoside phosphorylase	57	ug/L
GDI2	GDP dissociation inhibitor 2	56	ug/L
LILRA1	Leukocyte immunoglobulin like receptor A1	56	ug/L
PRB2	Proline rich protein BstNI subfamily 2	56	ug/L
KRT34	Keratin 34	56	ug/L
SLC38A10	Solute carrier family 38 member 10	56	ug/L
SPTA1	"Spectrin alpha, erythrocytic 1"	56	ug/L
RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	56	ug/L
LAMA2	Laminin subunit alpha 2	56	ug/L
PLA2G15	Phospholipase A2 group XV	55	ug/L
LILRB5	Leukocyte immunoglobulin like receptor B5	55	ug/L
PLXNB2	Plexin B2	55	ug/L
ALG13	ALG13 UDP-N-acetylglucosaminyltransferase subunit	54	ug/L
ITGB3	Integrin subunit beta 3	54	ug/L
ADGRF5	Adhesion G protein-coupled receptor F5	53	ug/L
ADA2	Adenosine deaminase 2	53	ug/L
DPEP3	Dipeptidase 3	53	ug/L
TREML1	Triggering receptor expressed on myeloid cells like 1	53	ug/L
EXTL2	Exostosin like glycosyltransferase 2	53	ug/L
IGKV6D-41	Immunoglobulin kappa variable 6D-41 (non-functional)	53	ug/L
STAB1	Stabilin 1	52	ug/L
B4GALT1	"Beta-1,4-galactosyltransferase 1"	52	ug/L
CORO1A	Coronin 1A	52	ug/L
MEGF9	Multiple EGF like domains 9	52	ug/L
SOD1	Superoxide dismutase 1	52	ug/L
MMRN2	Multimerin 2	51	ug/L
CSPG4	Chondroitin sulfate proteoglycan 4	51	ug/L
BASP1	Brain abundant membrane attached signal protein 1	51	ug/L
FUCA1	Alpha-L-fucosidase 1	51	ug/L
NOTCH4	Notch receptor 4	51	ug/L
CTSA	Cathepsin A	50	ug/L
MYH11	Myosin heavy chain 11	50	ug/L
SH3BGRL3	SH3 domain binding glutamate rich protein like 3	50	ug/L
KRT84	Keratin 84	50	ug/L
ENPEP	Glutamyl aminopeptidase	49	ug/L
OSCAR	Osteoclast associated Ig-like receptor	49	ug/L
DCN	Decorin	48	ug/L
REG1A	Regenerating family member 1 alpha	48	ug/L
SPINK5	Serine peptidase inhibitor Kazal type 5	48	ug/L
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	48	ug/L
RELN	Reelin	48	ug/L
MYO18A	Myosin XVIIIA	48	ug/L
SPTB	"Spectrin beta, erythrocytic"	47	ug/L
RECK	Reversion inducing cysteine rich protein with kazal motifs	47	ug/L
FLG2	Filaggrin 2	47	ug/L
CRHBP	Corticotropin releasing hormone binding protein	47	ug/L
FGFR1	Fibroblast growth factor receptor 1	46	ug/L
MYH1	Myosin heavy chain 1	46	ug/L
KIT	"KIT proto-oncogene, receptor tyrosine kinase"	46	ug/L
B4GAT1	"Beta-1,4-glucuronyltransferase 1"	46	ug/L
HLA-G	"Major histocompatibility complex, class I, G"	46	ug/L
PAPLN	"Papilin, proteoglycan like sulfated glycoprotein"	45	ug/L
CALD1	Caldesmon 1	45	ug/L
SUMF1	Sulfatase modifying factor 1	45	ug/L
DCHS1	Dachsous cadherin-related 1	45	ug/L
CST6	Cystatin E/M	45	ug/L
LPL	Lipoprotein lipase	45	ug/L
ANGPTL6	Angiopoietin like 6	44	ug/L
C1orf56	Chromosome 1 open reading frame 56	44	ug/L
SLC4A1	Solute carrier family 4 member 1 (Diego blood group)	43	ug/L
PGD	Phosphogluconate dehydrogenase	43	ug/L
LRP8	LDL receptor related protein 8	43	ug/L
CD34	CD34 molecule	43	ug/L
PSG1	Pregnancy specific beta-1-glycoprotein 1	43	ug/L
MDH1	Malate dehydrogenase 1	42	ug/L
VIM	Vimentin	42	ug/L
VCAN	Versican	42	ug/L
EZR	Ezrin	42	ug/L
MEGF10	Multiple EGF like domains 10	42	ug/L
ESAM	Endothelial cell adhesion molecule	42	ug/L
SFN	Stratifin	42	ug/L
CEACAM6	CEA cell adhesion molecule 6	41	ug/L
NOTCH3	Notch receptor 3	40	ug/L
FCGR2A	Fc gamma receptor IIa	40	ug/L
CA3	Carbonic anhydrase 3	40	ug/L
PAPPA	Pappalysin 1	40	ug/L
PEBP1	Phosphatidylethanolamine binding protein 1	39	ug/L
PLXNA1	Plexin A1	39	ug/L
MYH2	Myosin heavy chain 2	39	ug/L
RDX	Radixin	39	ug/L
KRT20	Keratin 20	39	ug/L
HSPA6	Heat shock protein family A (Hsp70) member 6	39	ug/L
CLIC1	Chloride intracellular channel 1	39	ug/L
MYH4	Myosin heavy chain 4	39	ug/L
CD59	CD59 molecule (CD59 blood group)	38	ug/L
RSU1	Ras suppressor protein 1	38	ug/L
AXL	AXL receptor tyrosine kinase	38	ug/L
THBS3	Thrombospondin 3	38	ug/L
PEAR1	Platelet endothelial aggregation receptor 1	38	ug/L
IGHE	Immunoglobulin heavy constant epsilon	38	ug/L
PSG3	Pregnancy specific beta-1-glycoprotein 3	38	ug/L
MADCAM1	Mucosal vascular addressin cell adhesion molecule 1	37	ug/L
IGDCC4	Immunoglobulin superfamily DCC subclass member 4	37	ug/L
UQCRB	Ubiquinol-cytochrome c reductase binding protein	37	ug/L
PSG6	Pregnancy specific beta-1-glycoprotein 6	37	ug/L
TALDO1	Transaldolase 1	37	ug/L
SOD2	Superoxide dismutase 2	37	ug/L
CPQ	Carboxypeptidase Q	36	ug/L
PSMA2	Proteasome 20S subunit alpha 2	36	ug/L
PARK7	Parkinsonism associated deglycase	36	ug/L
FLNC	Filamin C	36	ug/L
ALAD	Aminolevulinate dehydratase	36	ug/L
MERTK	"MER proto-oncogene, tyrosine kinase"	36	ug/L
VSIG4	V-set and immunoglobulin domain containing 4	36	ug/L
SFTPB	Surfactant protein B	36	ug/L
IGLV4-3	Immunoglobulin lambda variable 4-3	36	ug/L
SERPINB1	Serpin family B member 1	35	ug/L
NUCB1	Nucleobindin 1	35	ug/L
PLS1	Plastin 1	35	ug/L
EXT2	Exostosin glycosyltransferase 2	35	ug/L
FABP1	Fatty acid binding protein 1	35	ug/L
CFL2	Cofilin 2	35	ug/L
BGN	Biglycan	35	ug/L
CES1	Carboxylesterase 1	35	ug/L
MRC2	Mannose receptor C type 2	34	ug/L
WARS1	Tryptophanyl-tRNA synthetase 1	34	ug/L
SNCA	Synuclein alpha	34	ug/L
FSTL1	Follistatin like 1	34	ug/L
B3GNT8	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8"	34	ug/L
KPRP	Keratinocyte proline rich protein	34	ug/L
GDI1	GDP dissociation inhibitor 1	34	ug/L
AOC1	Amine oxidase copper containing 1	33	ug/L
BLMH	Bleomycin hydrolase	33	ug/L
PTPRD	Protein tyrosine phosphatase receptor type D	33	ug/L
ART3	ADP-ribosyltransferase 3 (inactive)	33	ug/L
PSG4	Pregnancy specific beta-1-glycoprotein 4	33	ug/L
CNTFR	Ciliary neurotrophic factor receptor	32	ug/L
VASP	Vasodilator stimulated phosphoprotein	32	ug/L
GPNMB	Glycoprotein nmb	32	ug/L
PRCP	Prolylcarboxypeptidase	32	ug/L
H1-4	"H1.4 linker histone, cluster member"	32	ug/L
FAM3C	FAM3 metabolism regulating signaling molecule C	32	ug/L
TGFBR3	Transforming growth factor beta receptor 3	31	ug/L
GSS	Glutathione synthetase	31	ug/L
MYL9	Myosin light chain 9	31	ug/L
NRP2	Neuropilin 2	31	ug/L
NPC2	NPC intracellular cholesterol transporter 2	31	ug/L
PSG8	Pregnancy specific beta-1-glycoprotein 8	31	ug/L
APOL2	Apolipoprotein L2	31	ug/L
OSMR	Oncostatin M receptor	31	ug/L
ERAP1	Endoplasmic reticulum aminopeptidase 1	31	ug/L
PPIB	Peptidylprolyl isomerase B	31	ug/L
NTM	Neurotrimin	31	ug/L
MAN2A2	Mannosidase alpha class 2A member 2	31	ug/L
GP6	Glycoprotein VI platelet	30	ug/L
MYH14	Myosin heavy chain 14	30	ug/L
CHIT1	Chitinase 1	30	ug/L
CD248	CD248 molecule	30	ug/L
ADAMTSL1	ADAMTS like 1	30	ug/L
ADH1B	"Alcohol dehydrogenase 1B (class I), beta polypeptide"	30	ug/L
CTTN	Cortactin	29	ug/L
TNN	Tenascin N	29	ug/L
DMKN	Dermokine	29	ug/L
CXCL16	C-X-C motif chemokine ligand 16	29	ug/L
ITGA2	Integrin subunit alpha 2	29	ug/L
ILK	Integrin linked kinase	29	ug/L
CALML5	Calmodulin like 5	29	ug/L
ATF6B	Activating transcription factor 6 beta	29	ug/L
CCL16	C-C motif chemokine ligand 16	29	ug/L
MYH7	Myosin heavy chain 7	28	ug/L
SIRPB1	Signal regulatory protein beta 1	28	ug/L
IGFBP1	Insulin like growth factor binding protein 1	28	ug/L
FRZB	Frizzled related protein	28	ug/L
COL3A1	Collagen type III alpha 1 chain	28	ug/L
ADH1A	"Alcohol dehydrogenase 1A (class I), alpha polypeptide"	28	ug/L
HEXB	Hexosaminidase subunit beta	27	ug/L
ACTN2	Actinin alpha 2	27	ug/L
FCN1	Ficolin 1	27	ug/L
SLC1A5	Solute carrier family 1 member 5	27	ug/L
PLAA	Phospholipase A2 activating protein	27	ug/L
SNED1	"Sushi, nidogen and EGF like domains 1"	27	ug/L
HTRA1	HtrA serine peptidase 1	27	ug/L
F8	Coagulation factor VIII	27	ug/L
RNH1	Ribonuclease/angiogenin inhibitor 1	26	ug/L
ACTR3	Actin related protein 3	26	ug/L
ATF6	Activating transcription factor 6	26	ug/L
MYH8	Myosin heavy chain 8	26	ug/L
FLG	Filaggrin	26	ug/L
COL1A2	Collagen type I alpha 2 chain	26	ug/L
REG1B	Regenerating family member 1 beta	26	ug/L
CCL14	C-C motif chemokine ligand 14	26	ug/L
ANK1	Ankyrin 1	25	ug/L
HPN	Hepsin	25	ug/L
ARHGDIA	Rho GDP dissociation inhibitor alpha	25	ug/L
CPAMD8	C3 and PZP like alpha-2-macroglobulin domain containing 8	25	ug/L
PCLO	Piccolo presynaptic cytomatrix protein	25	ug/L
AGRN	Agrin	25	ug/L
CELA2B	Chymotrypsin like elastase 2B	25	ug/L
AGA	Aspartylglucosaminidase	24	ug/L
GANAB	Glucosidase II alpha subunit	24	ug/L
PDGFRB	Platelet derived growth factor receptor beta	24	ug/L
DSC2	Desmocollin 2	24	ug/L
FLNB	Filamin B	24	ug/L
TXN	Thioredoxin	24	ug/L
SEMA7A	Semaphorin 7A (John Milton Hagen blood group)	24	ug/L
SECTM1	Secreted and transmembrane 1	24	ug/L
PGAM2	Phosphoglycerate mutase 2	24	ug/L
SCARA3	Scavenger receptor class A member 3	24	ug/L
DDR1	Discoidin domain receptor tyrosine kinase 1	24	ug/L
PGLYRP1	Peptidoglycan recognition protein 1	23	ug/L
ATP5F1B	ATP synthase F1 subunit beta	23	ug/L
TXNDC15	Thioredoxin domain containing 15	23	ug/L
OMD	Osteomodulin	23	ug/L
ITGB4	Integrin subunit beta 4	23	ug/L
DSC1	Desmocollin 1	23	ug/L
TGOLN2	Trans-golgi network protein 2	23	ug/L
ITGA5	Integrin subunit alpha 5	23	ug/L
AIMP1	Aminoacyl tRNA synthetase complex interacting multifunctional protein 1	23	ug/L
NIPBL	NIPBL cohesin loading factor	23	ug/L
CKB	Creatine kinase B	23	ug/L
INHBC	Inhibin subunit beta C	23	ug/L
ANXA2	Annexin A2	23	ug/L
IGLV5-37	Immunoglobulin lambda variable 5-37	23	ug/L
ACY1	Aminoacylase 1	23	ug/L
THSD7A	Thrombospondin type 1 domain containing 7A	22	ug/L
C1QTNF3	C1q and TNF related 3	22	ug/L
APLP1	Amyloid beta precursor like protein 1	22	ug/L
MANSC1	MANSC domain containing 1	22	ug/L
PODXL	Podocalyxin like	22	ug/L
CELSR2	Cadherin EGF LAG seven-pass G-type receptor 2	22	ug/L
HMCN2	Hemicentin 2	22	ug/L
NOTCH1	Notch receptor 1	22	ug/L
SCUBE1	"Signal peptide, CUB domain and EGF like domain containing 1"	22	ug/L
CILP2	Cartilage intermediate layer protein 2	22	ug/L
FBLN2	Fibulin 2	22	ug/L
CAMP	Cathelicidin antimicrobial peptide	22	ug/L
SIGLEC7	Sialic acid binding Ig like lectin 7	22	ug/L
CCDC126	Coiled-coil domain containing 126	22	ug/L
PODN	Podocan	22	ug/L
PSG9	Pregnancy specific beta-1-glycoprotein 9	22	ug/L
RTN4RL2	Reticulon 4 receptor like 2	22	ug/L
TPSB2	Tryptase beta 2	22	ug/L
PSG2	Pregnancy specific beta-1-glycoprotein 2	22	ug/L
ADH1C	"Alcohol dehydrogenase 1C (class I), gamma polypeptide"	22	ug/L
MYOC	Myocilin	21	ug/L
BIN2	Bridging integrator 2	21	ug/L
IL1R2	Interleukin 1 receptor type 2	21	ug/L
ADAMDEC1	ADAM like decysin 1	21	ug/L
ANTXR1	ANTXR cell adhesion molecule 1	21	ug/L
LAMB2	Laminin subunit beta 2	21	ug/L
NECTIN3	Nectin cell adhesion molecule 3	21	ug/L
PSG11	Pregnancy specific beta-1-glycoprotein 11	21	ug/L
MYH13	Myosin heavy chain 13	20	ug/L
MARCO	Macrophage receptor with collagenous structure	20	ug/L
DKK3	Dickkopf WNT signaling pathway inhibitor 3	20	ug/L
PGM1	Phosphoglucomutase 1	20	ug/L
PSMA7	Proteasome 20S subunit alpha 7	20	ug/L
SERPINE1	Serpin family E member 1	20	ug/L
AK1	Adenylate kinase 1	20	ug/L
PCDH12	Protocadherin 12	20	ug/L
PSMA1	Proteasome 20S subunit alpha 1	20	ug/L
STOM	Stomatin	20	ug/L
PTPRN2	Protein tyrosine phosphatase receptor type N2	20	ug/L
PDIA4	Protein disulfide isomerase family A member 4	20	ug/L
LTBP3	Latent transforming growth factor beta binding protein 3	20	ug/L
CEND1	Cell cycle exit and neuronal differentiation 1	20	ug/L
PARVB	Parvin beta	20	ug/L
CD84	CD84 molecule	19	ug/L
SORBS1	Sorbin and SH3 domain containing 1	19	ug/L
CLEC4M	C-type lectin domain family 4 member M	19	ug/L
HSPB1	Heat shock protein family B (small) member 1	19	ug/L
CORO1C	Coronin 1C	19	ug/L
MGP	Matrix Gla protein	19	ug/L
FGL2	Fibrinogen like 2	19	ug/L
CALU	Calumenin	19	ug/L
TIMD4	T cell immunoglobulin and mucin domain containing 4	19	ug/L
EPHA1	EPH receptor A1	19	ug/L
HPD	4-hydroxyphenylpyruvate dioxygenase	19	ug/L
IL6R	Interleukin 6 receptor	19	ug/L
CTSS	Cathepsin S	19	ug/L
EEF2	Eukaryotic translation elongation factor 2	19	ug/L
KLK11	Kallikrein related peptidase 11	19	ug/L
UGP2	UDP-glucose pyrophosphorylase 2	19	ug/L
H1-2	"H1.2 linker histone, cluster member"	19	ug/L
DNER	Delta/notch like EGF repeat containing	19	ug/L
NME1	NME/NM23 nucleoside diphosphate kinase 1	19	ug/L
PSMA6	Proteasome 20S subunit alpha 6	18	ug/L
CD276	CD276 molecule	18	ug/L
CTSC	Cathepsin C	18	ug/L
CUTA	CutA divalent cation tolerance homolog	18	ug/L
PDIA6	Protein disulfide isomerase family A member 6	18	ug/L
LRP5	LDL receptor related protein 5	18	ug/L
SPINK1	Serine peptidase inhibitor Kazal type 1	18	ug/L
RET	Ret proto-oncogene	18	ug/L
MYL1	Myosin light chain 1	18	ug/L
FABP4	Fatty acid binding protein 4	18	ug/L
SIGLEC14	Sialic acid binding Ig like lectin 14	18	ug/L
PTPRC	Protein tyrosine phosphatase receptor type C	17	ug/L
SELPLG	Selectin P ligand	17	ug/L
CDH6	Cadherin 6	17	ug/L
GLIPR2	GLI pathogenesis related 2	17	ug/L
LDLR	Low density lipoprotein receptor	17	ug/L
UBA1	Ubiquitin like modifier activating enzyme 1	17	ug/L
CTSL	Cathepsin L	17	ug/L
HAVCR2	Hepatitis A virus cellular receptor 2	17	ug/L
FGFBP2	Fibroblast growth factor binding protein 2	17	ug/L
IDH1	Isocitrate dehydrogenase (NADP(+)) 1	17	ug/L
FBP1	Fructose-bisphosphatase 1	17	ug/L
GPT	Glutamic--pyruvic transaminase	17	ug/L
GKN1	Gastrokine 1	17	ug/L
CSF1	Colony stimulating factor 1	17	ug/L
COL15A1	Collagen type XV alpha 1 chain	17	ug/L
PKHD1L1	PKHD1 like 1	17	ug/L
ITGA1	Integrin subunit alpha 1	17	ug/L
CCL5	C-C motif chemokine ligand 5	17	ug/L
CD209	CD209 molecule	16	ug/L
ZFHX4	Zinc finger homeobox 4	16	ug/L
PYGL	Glycogen phosphorylase L	16	ug/L
MTPN	Myotrophin	16	ug/L
MANBA	Mannosidase beta	16	ug/L
LTBP2	Latent transforming growth factor beta binding protein 2	16	ug/L
CHAD	Chondroadherin	16	ug/L
PSMA5	Proteasome 20S subunit alpha 5	16	ug/L
LIPC	"Lipase C, hepatic type"	16	ug/L
LIMS1	LIM zinc finger domain containing 1	16	ug/L
SMPDL3A	Sphingomyelin phosphodiesterase acid like 3A	16	ug/L
MYH6	Myosin heavy chain 6	16	ug/L
PDCD1LG2	Programmed cell death 1 ligand 2	16	ug/L
HLA-F	"Major histocompatibility complex, class I, F"	16	ug/L
HEXA	Hexosaminidase subunit alpha	16	ug/L
CCL27	C-C motif chemokine ligand 27	16	ug/L
CAPN1	Calpain 1	15	ug/L
SERPINB3	Serpin family B member 3	15	ug/L
CDHR2	Cadherin related family member 2	15	ug/L
FKBP1A	FKBP prolyl isomerase 1A	15	ug/L
LGALS1	Galectin 1	15	ug/L
PYGB	Glycogen phosphorylase B	15	ug/L
HAMP	Hepcidin antimicrobial peptide	15	ug/L
MYH3	Myosin heavy chain 3	15	ug/L
APOA5	Apolipoprotein A5	15	ug/L
CAPZA1	Capping actin protein of muscle Z-line subunit alpha 1	15	ug/L
CSTA	Cystatin A	15	ug/L
H1-3	"H1.3 linker histone, cluster member"	15	ug/L
SLC44A2	Solute carrier family 44 member 2	15	ug/L
CLTC	Clathrin heavy chain	15	ug/L
GLUD1	Glutamate dehydrogenase 1	15	ug/L
FREM2	FRAS1 related extracellular matrix 2	15	ug/L
CCL28	C-C motif chemokine ligand 28	15	ug/L
KRT82	Keratin 82	15	ug/L
A2ML1	Alpha-2-macroglobulin like 1	15	ug/L
EXT1	Exostosin glycosyltransferase 1	15	ug/L
NAP1L1	Nucleosome assembly protein 1 like 1	15	ug/L
KRTDAP	Keratinocyte differentiation associated protein	15	ug/L
AKR1C3	Aldo-keto reductase family 1 member C3	15	ug/L
LASP1	LIM and SH3 protein 1	14	ug/L
LMAN1	"Lectin, mannose binding 1"	14	ug/L
FAT1	FAT atypical cadherin 1	14	ug/L
JAG1	Jagged canonical Notch ligand 1	14	ug/L
MSLN	Mesothelin	14	ug/L
COTL1	Coactosin like F-actin binding protein 1	14	ug/L
FAM20A	FAM20A golgi associated secretory pathway pseudokinase	14	ug/L
COL12A1	Collagen type XII alpha 1 chain	14	ug/L
GHR	Growth hormone receptor	14	ug/L
EPHA4	EPH receptor A4	14	ug/L
SSR1	Signal sequence receptor subunit 1	14	ug/L
ARPC1B	Actin related protein 2/3 complex subunit 1B	14	ug/L
ASGR2	Asialoglycoprotein receptor 2	14	ug/L
ALPL	"Alkaline phosphatase, biomineralization associated"	14	ug/L
